FO MICRO K,ONE RESEARCH,16000,10,0,0,10,CUKUP
FO MICRO B,ONE RESEARCH,28000,10,0,0,10,CUKUP
FO MACRO K,ONE RESEARCH,16000,10,0,0,10,CUKUP
FO MACRO B,ONE RESEARCH,28000,10,0,0,10,CUKUP
NATURAL ONE,ONE RESEARCH,20000,10,0,0,10,CUKUP
BASE ONE,ONE RESEARCH,20000,10,0,0,10,CUKUP
PINSET LURUS,HOPAR,25000,10,0,0,10,CUKUP
PINSET BENGKOK,HOPAR,35000,10,0,0,10,CUKUP
GUNTING LURUS,HOPAR,40000,10,0,0,10,CUKUP
GUNTING BENGKOK,HOPAR,45000,10,0,0,10,CUKUP
KANDILA,BATU/PASIR,15000,10,0,0,10,CUKUP
PASMAL ALUS,BATU/PASIR,10000,10,0,0,10,CUKUP
PASMAL KASAR,BATU/PASIR,10000,10,0,0,10,CUKUP
ZEOLITE,BATU/PASIR,20000,10,0,0,10,CUKUP
ZEOLITE R,BATU/PASIR,300,10,0,0,10,CUKUP
LAVAROCK per karung,BATU/PASIR,20000,10,0,0,10,CUKUP
LAVAROCK per Kg,BATU/PASIR,2500,10,0,0,10,CUKUP
WG MICRO 300,PLUS-PLUS,45000,10,0,0,10,CUKUP
WG MICRO 500,PLUS-PLUS,60000,10,0,0,10,CUKUP
WG MACRO 300,PLUS-PLUS,45000,10,0,0,10,CUKUP
WG MACRO 500,PLUS-PLUS,60000,10,0,0,10,CUKUP
PS BIO,PLUS-PLUS,42500,10,0,0,10,CUKUP
PUKDAS JBL,PLUS-PLUS,120000,10,0,0,10,CUKUP
FERTIQUA CO2,PLUS-PLUS,12000,10,0,0,10,CUKUP
TITANIC,PLUS-PLUS,9000,10,0,0,10,CUKUP
GARAM,PLUS-PLUS,2500,10,0,0,10,CUKUP
CARPET SEED,PLUS-PLUS,5000,10,0,0,10,CUKUP
FISH ALL,PLUS-PLUS,5500,10,0,0,10,CUKUP
CV STAINLESS,PLUS-PLUS,25000,10,0,0,10,CUKUP
CV AKRILIK,PLUS-PLUS,5000,10,0,0,10,CUKUP
ORCA 60,PLUS-PLUS,25000,10,0,0,10,CUKUP
BC OF,PLUS-PLUS,25000,10,0,0,10,CUKUP
BC ISTA,PLUS-PLUS,60000,10,0,0,10,CUKUP
PINSET RIO,PLUS-PLUS,110000,10,0,0,10,CUKUP
THERMO LIDI,PLUS-PLUS,5000,10,0,0,10,CUKUP
THERMO DIGITAL,PLUS-PLUS,35000,10,0,0,10,CUKUP
HYDROMETER,PLUS-PLUS,32500,10,0,0,10,CUKUP
SEA STAR 75 W,PLUS-PLUS,25000,10,0,0,10,CUKUP
QUICK ABU2,TOOL,8500,10,0,0,10,CUKUP
HITAChi,TOOL,2500,10,0,0,10,CUKUP
